cnom,cbin,ccon,xbin,ucon1,ybin
0,1,2.4782038,0,45.940338,0
0,1,2.9782052,0,62.468033,1
1,0,3.5036521,0,75.256157,1
1,1,3.5128384,0,69.935249,1
1,0,4.6595354,0,72.306671,1
1,0,3.5373321,0,56.141445,1
1,0,3.7171078,1,52.408504,1
1,0,3.6735063,0,61.432659,1
1,1,3.6127961,1,82.443146,1
1,0,4.0234528,0,65.317749,0
1,1,3.1772962,0,62.931561,0
1,0,3.3592572,0,56.174496,0
0,0,3.2598567,0,59.895279,1
1,1,3.3797259,0,51.039845,1
1,0,4.7351885,1,81.709915,1
2,0,3.1531711,0,46.445293,0
0,1,2.7440255,0,62.405807,0
1,0,3.4958205,0,61.739906,1
1,0,4.1436238,1,58.786709,0
1,1,3.5095863,0,66.581596,1
2,1,2.799968,0,61.232182,0
0,1,2.2885034,0,46.33839,1
1,0,3.3986213,0,55.721394,1
1,0,3.0829663,0,78.279808,1
1,0,2.9406202,0,73.216255,1
1,1,2.5014758,0,49.144924,1
1,1,3.6802533,1,68.653519,1
1,0,3.5719321,0,54.041492,1
1,1,3.4462836,0,68.929039,0
1,1,3.5238724,0,51.876995,1
1,1,3.3341238,0,53.713799,1
1,0,3.6080599,0,47.950432,0
1,1,4.149096,1,76.349457,1
2,1,3.4926989,0,81.331299,1
1,0,3.5084736,0,48.964752,0
1,0,3.4639735,1,72.154823,1
1,1,2.726171,1,82.884621,1
1,1,3.5776541,1,78.015076,1
1,0,3.5646777,0,62.995193,1
2,0,3.0671492,0,50.622585,1
1,0,3.6959183,0,74.726921,1
1,1,3.1336977,1,64.464928,0
2,0,4.3518405,0,60.392052,1
1,1,3.7505071,1,82.897987,1
1,0,3.4223502,0,53.97184,1
1,0,3.441432,0,63.700325,1
1,0,3.7231939,1,69.101173,1
2,0,3.8312206,0,53.260674,1
1,1,3.7275608,0,57.533241,0
1,0,3.4052267,0,57.432407,0
1,1,3.683104,0,64.459503,1
1,0,3.402555,0,46.091339,1
1,0,3.2130842,0,58.98061,0
1,1,2.9027855,0,70.827591,1
1,1,3.1769006,0,67.794441,1
