cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,3.6148722,19.657017,70.091644,86.746254,28.19459
1,1,3.8738663,18.903576,78.512154,64.746231,24.064621
1,1,3.0425622,19.757229,81.323395,84.011993,34.253586
0,1,3.2164724,19.466267,98.078529,55.396275,28.284695
1,0,3.5893657,23.58984,91.929031,81.781586,23.902746
0,1,2.5158191,19.35779,84.097435,61.853855,26.536211
1,1,3.5970666,22.611269,88.807381,72.188721,25.92799
1,0,3.0949788,16.537283,54.750465,81.150665,22.768545
1,1,3.7108824,17.431227,79.773483,62.668625,26.334803
1,0,3.5579836,18.811646,99.268127,89.841545,29.433029
1,1,3.4835544,19.722792,76.332199,75.097664,24.851019
1,0,3.0958121,20.597921,72.821335,77.54583,28.874178
1,0,3.3670537,17.763203,67.286682,67.655563,17.286764
1,1,3.5150175,18.466364,98.004646,73.546959,27.620546
1,1,2.8438728,16.86322,70.110825,61.243156,22.839432
1,1,4.1217318,19.342848,78.891884,76.265976,17.303381
1,1,2.554409,19.739014,81.245422,65.335716,22.778078
0,1,2.6225734,14.367242,76.799789,48.777363,19.23098
1,0,3.1983013,18.172441,79.908707,75.209557,20.0569
1,1,3.021656,19.400274,91.267494,85.590439,19.928118
1,0,3.672344,22.571995,71.987473,84.524879,27.989088
0,1,2.9849348,17.839945,87.225288,65.607086,18.423477
1,0,3.1253912,18.200239,96.408302,59.642502,20.702625
0,0,3.7811499,16.773968,91.256561,67.287399,23.36614
2,1,3.6514087,18.895918,93.329613,62.914528,23.27445
1,0,4.1421118,19.804873,97.669418,77.132042,21.644033
1,1,3.7891693,23.571821,90.671814,73.659744,31.479176
1,1,3.4449883,19.300262,98.933472,73.381912,29.071178
1,1,3.8062258,20.222485,66.309059,69.431381,13.432076
1,1,3.7810407,19.215025,88.667435,64.15921,28.505056
1,1,2.9227943,19.885868,76.015381,86.123108,22.731859
1,0,4.4711204,19.056957,81.863495,62.848381,18.519413
2,0,2.8905308,19.049559,71.263199,78.511093,26.621801
1,1,3.169771,18.905018,70.161507,76.701927,26.215498
1,0,3.0765722,21.122396,82.60141,76.788437,20.57044
1,1,3.9034653,20.710371,78.627335,73.399345,22.928503
1,0,3.5429375,18.362747,86.835762,61.377083,19.376276
