cnom,cbin,ccon,xcon,ucon2,ucon1,ycon
1,1,3.6684225,21.585724,87.611526,92.614906,27.581375
1,0,3.6370907,21.001741,90.954865,74.189392,16.342031
1,0,4.0768728,17.898972,65.077225,61.302307,23.302269
2,0,4.3210692,18.020142,89.042076,66.19194,26.843649
0,1,2.0789957,16.849115,90.313232,66.448006,18.743608
1,1,3.4962912,17.035364,85.369148,75.853378,14.557798
0,0,3.5255651,16.420191,69.345657,75.100868,16.370653
1,0,3.0646691,17.398241,84.388016,69.206635,23.599644
2,1,2.9941626,21.240751,84.073463,62.727558,17.739262
1,1,3.2197406,19.432728,82.815041,76.182411,24.542473
1,1,4.0590076,18.950174,78.805542,85.221916,22.626715
1,1,3.2586923,18.457172,61.742863,69.635559,16.891483
2,0,3.3892777,19.980787,105.01434,70.654884,21.582653
1,0,3.9453061,20.337378,79.828842,75.656303,14.939259
1,1,3.329365,21.970848,82.1287,75.584091,23.201387
1,1,3.4456863,22.728699,107.46324,82.44632,24.444571
1,0,2.3496807,20.711409,74.040092,59.076263,15.231639
2,1,3.7423429,18.764807,73.371124,68.941032,26.587145
1,0,3.8806872,19.839884,83.032547,57.251701,20.45046
1,1,3.0855877,20.149492,100.66325,57.400463,20.873032
1,0,3.9509437,17.732828,82.075233,71.949989,23.000065
1,1,3.9033022,17.850077,78.809158,80.784729,23.499952
1,0,2.9222224,17.76594,93.639969,79.895798,25.309744
1,1,2.9137628,18.584049,75.004471,67.57312,24.392895
2,1,3.4553804,22.497637,85.406845,73.194969,19.035496
1,0,3.9536204,16.588421,81.83844,71.50177,28.310726
1,0,3.0945141,17.782715,93.247978,64.053452,28.517136
1,1,3.1635287,18.830309,78.958145,59.346535,16.727924
2,1,3.6250103,19.177681,83.249832,57.535954,15.435411
2,0,4.2368579,15.713784,84.242424,75.165604,23.547743
1,1,3.8498473,18.594406,86.0233,76.862968,15.349556
1,0,3.7327802,16.965096,83.24939,65.573494,25.291683
1,1,3.2584794,22.386698,96.05014,73.06279,24.867508
1,1,3.2097554,18.820011,87.729004,82.980301,26.724962
0,0,2.6633203,21.680212,99.446327,69.564743,20.986139
1,0,3.9866691,23.601089,84.465988,64.012009,22.825275
1,0,3.6434264,18.514349,96.998177,70.125664,20.948534
0,0,3.5248096,23.735094,91.047523,88.307343,25.647036
2,1,3.752759,16.2202,64.82766,67.975883,15.672638
1,0,3.4627774,19.57028,85.564964,80.493233,19.514851
2,0,3.2655516,18.3181,68.157593,81.657227,21.974077
1,1,3.3559272,17.060522,89.946304,47.599415,15.889928
1,1,2.9078746,20.446985,72.19249,81.464317,20.605999
0,0,2.9827774,16.411106,81.041023,59.209137,16.822306
1,1,3.7212191,22.098522,87.255669,67.885628,20.204557
2,0,3.2853949,16.166428,86.653465,61.637531,18.333786
1,0,3.1435299,14.223283,74.836922,59.488338,26.838537
0,1,2.8905697,24.609728,96.968803,77.455795,21.975861
1,0,3.2141566,16.382595,82.207657,69.724113,24.290167
1,1,3.0203052,16.256968,78.647247,70.087029,15.34852
1,0,2.7108123,18.77578,76.959557,78.246582,27.783491
1,1,2.5039892,18.421211,81.924416,54.305931,21.321762
1,0,3.8893976,22.164536,77.638802,62.328457,21.595842
0,1,2.1644742,16.663061,79.99939,61.389252,23.061676
2,1,2.3612375,19.688272,89.649292,65.283096,22.160549
1,1,3.308923,17.200829,92.068016,73.875565,21.598257
1,0,3.4607737,14.865983,73.56147,56.183029,21.104748
0,1,3.3498161,17.700644,66.018013,63.233284,24.75214
1,0,3.5080531,17.940847,84.85685,77.4394,31.750065
2,1,3.2879207,15.212672,74.832352,66.694901,27.725418
1,1,2.9640677,15.558861,81.725975,76.844162,23.307278
1,0,2.5257223,18.229523,87.044426,75.63427,31.775522
1,0,3.5565877,19.60951,98.910286,60.284946,22.760496
2,0,4.1799469,22.306742,75.005829,61.482285,31.587183
0,1,2.2008264,14.44552,74.348747,70.159378,24.992992
1,0,3.5247366,20.779718,83.392426,92.167458,29.922094
1,0,3.4199014,16.815495,82.980782,78.852325,33.726677
1,0,3.0781348,12.789685,70.585655,67.275017,23.450298
1,0,3.4329698,18.326508,79.472206,61.148041,18.2596
1,1,3.148037,14.625166,89.219627,70.961464,18.988672
0,0,2.7061501,20.238173,66.337761,69.761452,22.613813
2,1,3.5288286,18.022278,71.59153,65.601715,23.959541
1,0,3.1889331,17.855591,76.684769,68.397385,21.200514
1,0,3.0768213,17.408888,83.431,67.409393,23.238785
1,0,2.8063934,16.739458,82.743675,56.321087,19.866411
1,0,3.5103509,18.702475,82.798187,74.93058,21.083622
2,0,3.2886617,17.303162,90.726646,52.07003,24.788927
1,1,3.2424066,18.37191,77.966454,64.027985,17.959368
1,0,3.4562392,17.381819,88.188591,71.648117,20.241016
1,1,4.0440736,22.930021,82.871712,59.316807,16.518555
1,0,2.8446407,14.974616,70.257225,74.728271,20.349209
1,1,3.1141074,21.607517,94.2033,69.058655,26.568529
1,1,3.184443,15.174059,73.290779,88.444443,31.301329
1,0,3.5052323,20.071175,92.106445,84.593643,21.821186
1,0,3.1905994,14.885593,82.220596,64.71727,20.173002
1,0,3.7085202,20.823864,83.476997,74.313782,24.449255
1,0,4.2323108,21.480045,90.277901,77.173729,23.020168
2,0,4.396019,21.788628,95.420105,81.0299,22.610294
0,1,2.4674571,19.077799,92.608589,41.770096,19.610464
0,1,2.6981006,18.761768,88.976883,75.949898,22.929462
1,1,2.9314826,20.140642,92.00145,67.491135,21.116884
1,0,4.0400052,23.777634,86.625656,76.146606,28.557768
1,1,3.2538307,18.597286,85.111702,70.436569,21.871267
1,1,3.5284874,17.56933,107.34398,68.210175,21.592382
0,1,3.6004586,17.381163,87.722198,73.926575,21.564133
1,0,2.8076851,17.35733,81.045227,64.636017,20.363342
1,0,3.475152,19.572989,75.720215,65.136421,24.575577
1,0,3.7605097,21.721418,86.984589,83.412079,27.071064
1,0,3.572253,22.177292,81.793121,65.967087,20.950245
0,1,2.5746977,21.137478,68.977386,66.826767,22.588488
1,1,3.069665,17.164162,77.308205,71.024818,27.593365
0,0,3.1538241,17.045551,87.723602,69.476059,24.069857
1,1,3.7155013,21.043808,92.948975,62.655647,19.595064
1,1,3.7204032,22.28171,78.922104,77.592972,23.187923
1,0,3.2131276,20.009464,85.882797,74.605095,24.704479
1,1,4.0359116,15.324923,63.287308,73.833084,24.042812
1,0,2.8900228,20.69009,94.250694,77.946327,28.194035
1,1,3.506047,23.043961,100.21812,90.830505,26.029104
1,1,2.7992814,17.271755,60.328831,73.376945,22.350471
2,0,3.2268658,17.594217,86.929169,48.488888,20.360491
1,1,4.597178,24.486576,85.500771,85.137131,28.031469
1,1,3.8475232,14.479893,73.190819,65.426552,24.574686
1,1,2.4234943,20.056593,87.701698,48.994442,24.1598
2,0,4.3045559,18.655684,93.897285,60.80452,20.237249
1,1,2.3790257,18.605995,69.898727,67.492622,29.944826
1,1,3.4439204,21.959671,97.666153,71.860092,23.092731
1,0,3.5698452,17.029737,93.977997,69.896126,19.891329
1,0,3.7475441,15.264652,88.608414,67.121544,25.716419
1,0,4.1060085,20.118925,94.382103,68.829185,28.107204
1,1,2.5281003,17.937469,90.373405,56.390717,26.098242
1,0,2.913662,24.423153,89.276283,77.387184,23.436104
1,1,3.1296084,19.558056,77.794395,70.200554,22.00831
1,0,4.367456,19.583214,88.5382,75.371796,28.798853
0,0,2.9875891,16.667336,77.242821,45.522995,15.835404
1,1,2.8966796,21.46368,94.194901,71.050751,23.111115
1,1,3.4271696,20.478266,74.533531,69.049667,27.176208
1,0,3.0535536,18.59269,90.7024,71.239098,27.695808
1,1,3.2432687,19.864773,96.269737,80.267021,29.899046
1,1,3.1042275,17.106705,86.125717,75.895401,25.603321
1,0,3.3321042,21.309008,81.345322,72.610336,26.809015
1,0,2.9861393,16.813356,68.532097,82.881935,29.034725
0,0,2.3707037,14.850595,86.675301,73.289986,14.161987
1,1,3.4048746,20.776058,82.143883,70.244171,12.395112
1,1,3.4339149,18.264208,88.909416,67.228622,18.742111
0,0,2.2981315,23.258289,74.167519,84.403061,19.197306
1,1,4.1420836,21.188295,86.950264,69.568459,27.272917
2,1,3.9128265,17.615335,86.942879,75.434967,20.851469
1,1,3.3522422,16.464836,75.511742,85.826523,35.718273
0,1,2.7873797,17.31595,86.916595,63.357788,20.116568
1,1,4.099194,18.302208,71.761543,91.868225,23.012926
1,1,2.6459467,17.004898,102.85575,69.727547,17.222713
1,0,3.6314471,21.885826,103.62721,61.082371,26.87937
1,1,3.5766006,18.544689,70.973755,55.360897,24.429449
